id,canonical,classification,provenance_status
CIE 1865,AΘJVA:ΘMIA,unknown,rejected
CIE 1867,ΘA:JANTAT:IMIAΘ:JVA,unknown,rejected
CIE 1891,larθi:cainei:axrumiasa,unknown,rejected
CIE 1894,A3ENA:SVA:IHIA:IO:9A:J,unknown,rejected
CIE 1895,"13RIA:D A2IΠ937 cainei | pernisa A2IΠ937 | 13RIA:D Fa., cainei | pernisa Ga.",unknown,rejected
CIE 1896,:A2IΠ937:13RIA:D cainei | purnisa :,unknown,rejected
CIE 1897,1AΠI9MΨ:A2I42A:13RIA:D cainei | vetisa | umrinal,unknown,rejected
CIE 1898,....13RIA:D.... cainei ....,unknown,rejected
CIE 1899,∃TATI:M:A:J 1A:D:AΠ:∃∃: A2Ψ:937 la:minate | velia cai | petrusa,unknown,rejected
CIE 18.A.1,IИИA·IИV·Z·A Lanzi IЭИЭA·IИV·Z·A Fa.,unknown,rejected
CIE 18.A.10,AИIЭO·VIOVAI·I Lanzi AИIЭO·VDOA·I Fa.,unknown,rejected
CIE 18.A.11,ЭDAИV·IA·ЭIAИAИ·ЭIVЭ Lanzi ЭDAИV·IA·ЭIAИAИ·ЭIVЭ Fa.,unknown,rejected
CIE 18.A.12,VЭIAЭIЭIOЭЭ·[A]ИZIIЭAИ Fa.,unknown,rejected
CIE 18.A.13,VЭIAЭIЭIOЭЭ·[A]ИZIIЭAИ Fa.,unknown,rejected
CIE 18.A.2,IИV·I·IOA·I·IИV·Z·A Lanzi IИV·I·IOA·I·IИV·Z·A Fa.,unknown,rejected
CIE 18.A.3,IAIИAЭЭ·IИV·Z·A Lanzi IAIИAЭЭ·IИV·Z·A Fa.,unknown,rejected
CIE 18.A.4,IAIЭIЭD·IИV·Z·A Lanzi IAIЭIЭD·IИV·Z·A Fa.,unknown,rejected
CIE 18.A.5,IAIИVЭ8·AИV·IЭ·A Lanzi IAIИVЭ8·AИV·IЭ·A Fa.,unknown,rejected
CIE 18.A.6,ИAИA·A·AИV·ЭI·A Lanzi ИAIA·A Fa.,unknown,rejected
CIE 18.A.7,IAIИИЭA·AИV·I·Э Fa.,unknown,rejected
CIE 18.A.8,ЭИVЭ·X·IOA·I·I Lanzi ЭИVЭ·VЭOИA·I Fa.,unknown,rejected
CIE 18.A.9,IЭIИAЭI·AИDIЭЭD·AИV·I Lanzi IЭIИAЭI·AИDIЭЭD·AИV·I Fa.,unknown,rejected
CIE 18.a-b,AVЭAMVЭ AЭZAIЭZ TИVOVЭ IТATЭЭZIA,unknown,rejected
CIE 18.B.1,VITVIAMAHV·V8IЭDA Fa.,unknown,rejected
CIE 18.B.10,IЭIЭIЭ·ЭZAI Fa.,unknown,rejected
CIE 18.B.11,ЭOASЭZЭAS Fa.,unknown,rejected
CIE 18.B.12,XЭAI·VЭOИAI·ЭИIЭ8·ЭOИVЭAИV Fa.,unknown,rejected
CIE 18.B.2,VЭOИA·I,unknown,rejected
CIE 18.B.3,IVIИA Fa.,unknown,rejected
CIE 18.B.4,VИV·V8·VЭOИAI Fa.,unknown,rejected
CIE 18.B.5,ЭИV·I·ИAЭI·A Fa.,unknown,rejected
CIE 18.B.6,AИVЭVЭЭ·A Fa.,unknown,rejected
CIE 18.B.7,VЭOИIATZAS Uhd. VЭOИAI·ATZAS Fa.,unknown,rejected
CIE 18.B.8,ИAИЭIOAИ Uhd. ЭTИVЭIAIЭ·IOAI Fa.,unknown,rejected
CIE 18.B.9,ЭИИЭA·Fa.,unknown,rejected
CIE 18.c,AЭAЭЭЭ,unknown,rejected
CIE 19,KK·LIDIAI9V ƆH·V7L2AƆ·AHƆI∃,unknown,rejected
CIE 1900,MAIΠΨJΨO:2HΠ9A:3A:D:ΨA au: cae: arentis: hulunias,unknown,rejected
CIE 1901,ΨIΨO:∃A:J cae: hulu,unknown,rejected
CIE 1902,ΨAΨ42A:2HΨA:D:A∃ΨA:1A:D ar: cae: cranusa: campis: vetrual,unknown,rejected
CIE 1903,1A:D:AΠ:∃A:1H:ΨA:D:A:J ∃a[n]ia:cainei:crawpania:larθal,unknown,rejected
CIE 1904,HIA:AIHAO AIRE:JIA JAVAMV,unknown,rejected
CIE 1905,AZINIA:IVMVI:AIMAO,unknown,rejected
CIE 1906,TAMIA VJIA AIN,unknown,rejected
CIE 1908,AZINIVA:AIMVJA:IANIA,unknown,rejected
CIE 1909,VJ:JA:VI ...JV... ...JV....,unknown,rejected
CIE 1910,HIA:AHA AO AMJIA,unknown,rejected
CIE 1916,aule cai patu | arndal,unknown,rejected
CIE 1918,H SA VA Corssen; ....H SA VA Fa.; in fine aina vel nina Da. sched.,unknown,rejected
CIE 1919,larθ : cae : pexe : cainal,unknown,rejected
CIE 192,IARVNA RIGAL IARVNAIAR,unknown,rejected
CIE 1920,larθ : cae : pexe : trepinal,unknown,rejected
CIE 19-20,A CAECINA CEARVLA ANNOR LXX,unknown,rejected
CIE 1926,IHDAƆ·ЭЯPЭЯИ seθre·caЯnilsi [a],unknown,rejected
CIE 1927,MЯ AЯASAM·ЭИ·ЭИ JAX la·cale·me mefanaЯnal,unknown,rejected
CIE 1928,ЭИЯЭAD·AJ la·cale·me,unknown,rejected
CIE 193,IVOIMYMN.ZIOAL,unknown,rejected
CIE 1933,XЭIЭA·MIИЭIЭVЭX·XЭЯIЭAЭ larisal·kalsniЯ·aviati,unknown,rejected
CIE 1934,ЭAIЭIЭVO·IИIЭAЭ·ЭAЭ lart·calisni·ЯuriciaЯ,unknown,rejected
CIE 1936,ARVAMINISIASIA IAQDAL ar:calisni:sapusa|lar:dal,unknown,rejected
CIE 1937,RIVAS:IAQDAL VAMIDV M:ISN :MONEQ lar:di:calisnei:murinal|ren:n,unknown,rejected
CIE 1938,SAHSAI:ENISNAI:AIOQAI,unknown,rejected
CIE 1940,JAIDEO:SAM||||||||||| l|r:ca|mas:helial: JAIDEO:SAMAD:CJ,unknown,rejected
CIE 1941,MAHMA:VAI:ARIOQAI lar:dia:camei:lar:disa:la,unknown,rejected
CIE 1943,IAVIMVS:IA NIQA MAS:IOZAS hasi:camarinei:pumpiual:,unknown,rejected
CIE 1944,ASAMVS:IENIQAMAS:ALSAO hastia:camarinei:rumatesa,unknown,rejected
CIE 1945,MANIQ:SAMAS:VIVA INTVAJ aulius:camarines|lautni,unknown,rejected
CIE 195,ANAVQAVEN:IAA EN VJVVMAI72IOI VM EOVV EN VJVVMJIVVOI7 IA O AV,unknown,rejected
CIE 1955,Flora | Gargossa,unknown,rejected
CIE 196,ANANA:IOAN ARENAI,unknown,rejected
CIE 1964,AJ·AMAO ITAMIA AƧVИƎЯ,unknown,rejected
CIE 1966,AƧVИЈ HИ19AƆ AMAO,unknown,rejected
CIE 1967,L·CARTILVS·L·F HARISPEX,unknown,rejected
CIE 1969,ƧИVAƆИA JAƆ ИQA,unknown,rejected
CIE 197,IMAVAVAVMAO MAYMOJVARIDAV AIVM,unknown,rejected
CIE 1970,:VЯOИVHA:JƧVИA:JƧA,unknown,rejected
CIE 1971,OЈ·IИIИƧƧV O ЈAИIЯ,unknown,rejected
CIE 1979,IANQVTAM:OV:SVAO:OV,unknown,rejected
CIE 198,AIVNASIYAN LAHNVOMAIQOAN DΘDΘQOM·AИE,unknown,rejected
CIE 1980,A2AMQO2:AIVD:AMAO,unknown,rejected
CIE 1981,VTI1:A2AIVD:AINAO,unknown,rejected
CIE 1982,IAIQI1:OIEI:2I,unknown,rejected
CIE 1983,A2ANTVMAI:IAO,unknown,rejected
CIE 1985,A2INMYO:ANAO,unknown,rejected
CIE 1986,CELETA:CLOLINHA,unknown,rejected
CIE 1987,NNAI:OA A IAITEN,unknown,rejected
CIE 1988,OA:VMAI:VA,unknown,rejected
CIE 199,IVO:LAX,unknown,rejected
CIE 1990,MAIRVOE:VECA,unknown,rejected
CIE 1992,ARANÐIAS:IVCNEÐ:IOÐA,unknown,rejected
CIE 1993,OA:AM:IMÐIÐA,unknown,rejected
CIE 1994,VSA:ANÐIÐA:OÐ,unknown,rejected
CIE 1995,ANÐIÐA:OÐ,unknown,rejected
CIE 20,CAEƆ LNASƆAF·CA S I Ɔ·VLX·ANN,unknown,rejected
CIE 200,AИIЯA·AИVAИ·AИYPAИ IAΘЯMI A,unknown,rejected
CIE 2001,ad cicu | tutnal,unknown,rejected
CIE 2005,ad cipiru | ucumnzal,unknown,rejected
CIE 2009,a) APRILISS b) TI CLAVDI | SECVNDI,unknown,rejected
CIE 2010,SEX.GRANIVS. CAPITO.SEX.F,unknown,rejected
CIE 2011,SEX.GRANIVS. SEX.F.ARN. FEROX.,unknown,rejected
CIE 2012,SEX. CRANIO. HARISPICI. FORTVNATVS.L.,unknown,rejected
CIE 2013,SALASSA.GRANIA.L.L,unknown,rejected
CIE 2018,JANCIJA: AICIA,unknown,rejected
CIE 202,JЯAИИИ1Я:VИIЭ:Э:VVA VVV8,unknown,rejected
CIE 2020,Cocceia.L Scatunii uxor,unknown,rejected
CIE 2021,Coelia.L Anticlia,unknown,rejected
CIE 2025,ZANRATI:AMATJVD,unknown,rejected
CIE 2026,AZANITAT:IAMATJVD:OA,unknown,rejected
CIE 2027,:JANIANA:ADJVD:OS,unknown,rejected
CIE 2028,OLANIANA:ADJ,unknown,rejected
CIE 2029,JANITV:Q:M:AMVD:AB,unknown,rejected
CIE 203,AИЯA:VИI:A:Э:XA,unknown,rejected
CIE 2030,:JAIQIMA:IMVD:OA,unknown,rejected
CIE 2031,:JAIQIMA:IMVD:IA,unknown,rejected
CIE 2032,:AZIIMVD:IQIMA:AA,unknown,rejected
CIE 2033,SLAMAXA:IMVD:XA,unknown,rejected
CIE 2034,:ZIIVAD:IMVD:JA,unknown,rejected
CIE 2035,MAJED:IMVD:OA,unknown,rejected
CIE 2036,VANTIS:INMVS:DA,unknown,rejected
CIE 2038,O.N.R.I.R.I.S.A.Z.I.H.M.M.V.S.,unknown,rejected
CIE 2039,MI.I.N.M.V.S.:I.N.M.V.S.:O.I.,unknown,rejected
CIE 204,AИIAD·IЯИVЭЯI·IΘЯA,unknown,rejected
CIE 2040,M.A.N.D.I.S.V.O.:I.N.M.V.S.,unknown,rejected
CIE 2041,S.A.N.S.I.S.V.O.:M.I.N.M.V.S.:A.I.V.F.,unknown,rejected
CIE 2042,A.I.M.A.O.A.Z.I.M.T.H.I.N.Q.A.:A.I.H.M.M.V.S.,unknown,rejected
CIE 2043,C.CONSIDIVS.C.F.L.N.IIII VIR COMINIA.N.,unknown,rejected
CIE 2044,C.CONSIDIVS.C.F.L.N.IIII VIR COMINIA.N.,unknown,rejected
CIE 2045,L.CONSILII ATTICO VIXIT.A.XX.,unknown,rejected
CIE 2058,AR:CORSDLI:VIIAS,unknown,rejected
CIE 2059,LARTHICORSTLI,unknown,rejected
CIE 2061,ASAEAV:IANISV:ANAO,unknown,rejected
CIE 2062,EHISV:ASOPII,unknown,rejected
CIE 2063,ASOPII:IAIOI:IAISV,unknown,rejected
CIE 2064,ISA:OIIA,unknown,rejected
CIE 2068,AOIMTVAJAHM ALANA. ..lia cutnal: lautniθa,unknown,rejected
CIE 2069,ODAJ VA:AHIθ VA:VAO MAIθ. larθi ezna: arθial: vulθias,unknown,rejected
CIE 2070,ENVθ:OA. θa: ezunei,unknown,rejected
CIE 2071,ITAθA) IENθEAθIRAO. θania eznei carati,unknown,rejected
CIE 2072,θAθIθI θIθAθIθθO θAJ. larθi ezunei scevias,unknown,rejected
CIE 2073,VETANθA:θOθAJ. larθi: einatei,unknown,rejected
CIE 2074,VAθJθE:OMθA. M. arnθi: eple: aulθ,unknown,rejected
CIE 2075,LθARNS. OGLINIAI. L. Varius | Oglinia.f,unknown,rejected
CIE 2082,lania : veiania | lediusa,unknown,rejected
CIE 2089,L·VEISINNIVS·L·F·P·TITIA·GNATVS,unknown,rejected
CIE 21,MJI9A·INV8L2A·AHƆIƆ,unknown,rejected
CIE 2105,velxrei : sepiesa,unknown,rejected
CIE 2106,ad-velxna-luxrias C. Vedi,unknown,rejected
CIE 2107,Ar-Velxsna,unknown,rejected
CIE 2108,Larce-Velxna Large-Velxna,unknown,rejected
CIE 2109,La: Velxsna: La,unknown,rejected
CIE 2110,fania : velednei : ucursia,unknown,rejected
CIE 2111,velxnei : latinis : pricesta,unknown,rejected
CIE 2123,au:velsicu:zuxu|θusntia,unknown,rejected
CIE 2127,AHVT: 1211:OH9A,unknown,rejected
CIE 2128,{21JAMOH7:MVJ9A:12J A 7.J 17 A,unknown,rejected
CIE 2129,9A J D:JAM2AJ7YJ:A2 3 2D 2:12 12 337 A,unknown,rejected
CIE 2130,A23D.......BV 37,unknown,rejected
CIE 2131,3219.JAO9AJ3333337.J33,unknown,rejected
CIE 2132,9A D3JVA:3D21A:1D JAH,unknown,rejected
CIE 2134,2A12217 V1VVM.O+,unknown,rejected
CIE 2135,A23D21V,unknown,rejected
CIE 2136,IAIOMHƧ·IAO9AI·IƧIA·IƧA,unknown,rejected
CIE 2137,IƧIAIƧAIAIOGAIƧAIAIƧA,unknown,rejected
CIE 214,"FEFACE L.NAESI ALISA Pass. Ronc., VEVA CELNAAESI ALISA Pass. Paral., F ELNACELNAAESIALISA Lanzi.",unknown,rejected
CIE 2140,IAH9V7:VVA:IƧIƧA:O9AI,unknown,rejected
CIE 2143,VOLVSI·C·L·L·PHILEROƧIS·III·VIR,unknown,rejected
CIE 2144,ARANΘINΘINA:AIMAO,unknown,rejected
CIE 215,"RAMTHA ME Pass. Ronc., RAMTHA M.E Pass. Paral., RAMTHMA Lanzi.",unknown,rejected
CIE 2151,VALERIA L.L OSPITA S.E,unknown,rejected
CIE 2154,[.]VAI:EIH:VJE:I,unknown,rejected
CIE 2155,AHHIAZI·ЭHЭA·OHOA,unknown,rejected
CIE 2159,O·A·ЭI·A,unknown,rejected
CIE 216,IOVRAY: MANTHV: IOOAV; NCE,unknown,rejected
CIE 2161,VENIDIVS·Q·F·ARN·KALENVS F·T·AED·,unknown,rejected
CIE 2162,VAAAINVATA8AAAO,unknown,rejected
CIE 2163,[AINVATA8AAO],unknown,rejected
CIE 2164,:2A:AINA9A:IANAAO,unknown,rejected
CIE 2165,AIA937.IO9A[I],unknown,rejected
CIE 2167,OAIATITIAI,unknown,rejected
CIE 2168,:MVIA:I:O9AI,unknown,rejected
CIE 2169,IAO9A:AIAAI,unknown,rejected
CIE 217,JANVA ENTEO OPA,unknown,rejected
CIE 2170,VAO9A9A.AIA37.2V,unknown,rejected
CIE 2171,IAIA9A398:HIA:OI,unknown,rejected
CIE 2174,MYRIIA O | hasti vets,unknown,rejected
CIE 2175,AITR:AO | AITR:A9 | Fa:vetia|venzileś,unknown,rejected
CIE 2176,AITR:AM AO | AZAM 2 9 | Fana:veti|resnasa,unknown,rejected
CIE 2178,AITR:AHAO | AZANAT | Fana:vetia|tomasa,unknown,rejected
CIE 2179,YAT:OA | AV:IN | JADQ | aθ:vetni:laθral,unknown,rejected
CIE 218,JANVA ENTEO VA,unknown,rejected
CIE 2182,TANA | VIITNII | VIBINAL | Tana|Vetnei|Vibinal,unknown,rejected
CIE 2184,ma.i.s.q.a.m.v.t.e.i.a.ya,unknown,rejected
CIE 2188,a.s.i.n.b.a.i.v.t.e.i.a.a.h.n.a,unknown,rejected
CIE 2189,s.v.t.e.i.a.i.d.i.v.t.e.i.a.a.h.a.s.a,unknown,rejected
CIE 219,JANVA:CVLNETV:ANLNAL,unknown,rejected
CIE 2191,v.l.v.e.l.x.e.v.e.l.x.e.s.a.n.a.i.n.a.l,unknown,rejected
CIE 2193,anax veltsnei arisal,unknown,rejected
CIE 22,L·CAECINA·L·F·TLABONI·VIX·ANN S·XXX,unknown,rejected
CIE 220,JANVA:CVLNE:AXNAT,unknown,rejected
CIE 2200,a) ar vipi vuisinal b) ar vipi vuisinal,unknown,rejected
CIE 2202,AЯEÐIVJ·IITIЯ·9A ar:vipi·luscesca,unknown,rejected
CIE 2205,A9OЯE:I:ITIЯJЭЯ vel vipi:seÐra:,unknown,rejected
CIE 2207,L·VIBI·L·F·CAINAL L·Vibi·L·f·Cainal,unknown,rejected
CIE 2208,MIИI7O9AV larÐ vipiS,unknown,rejected
CIE 2209,RAMTA VIBIIIS·L LAVTNI Ramta Vibies·L lautni,unknown,rejected
CIE 221,JANVA:LARTHI:VELNEI:ALNIAL,unknown,rejected
CIE 2210,...ИAИƆE:I:IITIЯ:AO Fa:vipi:ecnatn...,unknown,rejected
CIE 2211,NIBIA AMOEN Vibia Amoen,unknown,rejected
CIE 2213,...:ΘO:I:ΘI:I:I:A:O Θana:vipinei:her[inis],unknown,rejected
CIE 2215,AIMVΘAΘA:I:ΘI:I:I:A:O Θana:vipinei:ranazunia:|creiicesa,unknown,rejected
CIE 2216,A:Z:A:H:T:V:V:I:ΘI:I:I:A:I:H:A:O Θrania:vipinei:tutnasa:,unknown,rejected
CIE 2217,I:I:V:A:I:ΘI:I:I:A M:H vipinei:velxΘes,unknown,rejected
CIE 2218,I:V:I:Z:A:I:M:I:Z:Z:I:I:ΘI:I:A:I:O:A:I larΘia:vipinei:seiania:velus,unknown,rejected
CIE 2219,VAR:VIBINIIII Lar Vibinei CRASNISA Crasnisa LA VINIIII La Vipine CARI Cari,unknown,rejected
CIE 222,JANVA:CVLNE:ALNIAL,unknown,rejected
CIE 2228,Θa·vipinei|leixunia|h[er]ines,unknown,rejected
CIE 2229,····vi···ei·leixunia·c···,unknown,rejected
CIE 223,VI:AИ:ЭИИVAƆ:O,unknown,rejected
CIE 2234,A.VOESIVS.A.F NAT,unknown,rejected
CIE 2235,IANA:AHAO,unknown,rejected
CIE 224,H9VAJ:Э,unknown,rejected
CIE 2240,L.XAPAMV L.ATITM,unknown,rejected
CIE 2242,ad zixu ad sert,unknown,rejected
CIE 2243,ha zixnei cupsnas,unknown,rejected
CIE 2244,ui zili lo,unknown,rejected
CIE 2246,aule zuxu au zuxu,unknown,rejected
CIE 2247,larθi aules zuxus,unknown,rejected
CIE 2248,ar zuxni: resna: p:s:,unknown,rejected
CIE 2249,θansi zuxniś,unknown,rejected
CIE 2250,MVśIN AO HIN,unknown,rejected
CIE 2252,VIVAO AFAZ,unknown,rejected
CIE 2255,[IMIEI·I]MAO ANAO,unknown,rejected
CIE 2256,OVAśOA,unknown,rejected
CIE 226,MЭИЭƆ:IИИA9Э:AИAO,unknown,rejected
CIE 2260,AƧA:IΘA:I:YRA:A:AHAO,unknown,rejected
CIE 2261,ƎSƎΘOƎAS MVOVƧIAO,unknown,rejected
CIE 2262,AƧV+AΘ:A:I:IO:A,unknown,rejected
CIE 2263,IAN+Y+R:A:I,unknown,rejected
CIE 2264,AƧA N+V+R:I:I ƎO,unknown,rejected
CIE 2265,AƧAΘ IANƎMƎA: AHAO,unknown,rejected
CIE 2266,AƧIMMYƧ:I:AƎ:AIMAO,unknown,rejected
CIE 2267,AƧAƧV:IANIA:IƎA:IOA,unknown,rejected
CIE 2268,QVTI:IEO ARIA,unknown,rejected
CIE 2270,IZAANIOV IAYTIR,unknown,rejected
CIE 2272,ARNAIOE ANIAO,unknown,rejected
CIE 2278,L. PETINATE VELOS,unknown,rejected
CIE 229,la cvenle | velxatinal,unknown,rejected
CIE 2298,larθ herine uxulartial cainal,unknown,rejected
CIE 23,9·Ɔ·9·Ɔ·AIƆV2L2J·AHƆIƆ,unknown,rejected
CIE 230,aph methlne:anao,unknown,rejected
CIE 2301,Ja:he:pu,unknown,rejected
CIE 2307,Jana:hermnei:vetnisa,unknown,rejected
CIE 2309,AINIAO AINIVIANI,unknown,rejected
CIE 2310,AINIAQAIISIRIMAO,unknown,rejected
CIE 2311,VZISV JAHAVN,unknown,rejected
CIE 2312,AZVZIQIEH931HO,unknown,rejected
CIE 2313,AHDUYIYA JAF,unknown,rejected
CIE 2314,DX·Q·RIA AZIZYYA,unknown,rejected
CIE 2315,EJIITVE-OQAI,unknown,rejected
CIE 2316,MAQVO,unknown,rejected
CIE 2317,a) QAWANEL b) IHJV8,unknown,rejected
CIE 2318,AqvTVIAOIN:OqAJ,unknown,rejected
CIE 2320,a. AINVA:OIAqATↃAO:IↃ b. :ↃAIJVA:OIAqATↃAO:IↃ,unknown,rejected
CIE 2321,JA:MAI:NVA:IↃqATↃAO:AINↃAO,unknown,rejected
CIE 2322,AↃAO TVAↃ AOIH ↃINIↃ,unknown,rejected
CIE 2323,SↃORE:OANSI,unknown,rejected
CIE 2324,SIↃMAO:AN SIↃMAO,unknown,rejected
CIE 2325,NNIↃ:IↃHVAO INHVA:JA,unknown,rejected
CIE 2326,IↃMAO:ↃNA,unknown,rejected
CIE 233,anthoem:methlne:iopan,unknown,rejected
CIE 2338,VITHMQA RVITIVO,unknown,rejected
CIE 2339,VINITAIRANM QV:OJ,unknown,rejected
CIE 234,aph:milnei:anao,unknown,rejected
CIE 2340,MAOV 8VO:IHTVA :379V,unknown,rejected
CIE 2341,OIBVOZA3IE,unknown,rejected
CIE 2342,AZIJAIHAJ,unknown,rejected
CIE 2343,JAITELAJQA,unknown,rejected
CIE 2344,JAHTL2J2JQAJ.AJ,unknown,rejected
CIE 2345,JAOH9A:AMDOJ,unknown,rejected
CIE 2346,IOↄI:AↄↄↄↄI:Oↄ aↄ:larena:laↄi,unknown,rejected
CIE 2348,IAↄↄↄVↄ:Oↄ:AↄↄↄↄI:Oↄ aↄ:larena:lↄ:tutnal,unknown,rejected
CIE 2349,IAↄↄↄVↄ:AↄↄↄↄI:Oↄ aↄ:larena:lↄ:tutnal,unknown,rejected
CIE 2350,:IↄↄↄVↄ:Oↄ:AↄↄↄↄI:ↄI vↄ:larena:lↄ:tutnal:,unknown,rejected
CIE 2354,JAQO:IAJ:OQAJ JAQO:IAJ,unknown,rejected
CIE 2355,VITAQ:2OIT,unknown,rejected
CIE 2356,L:TIOAJ AMV8A 12,unknown,rejected
CIE 2357,JAHMAVO:IHITAJ:2J,unknown,rejected
