id,raw_text,canonical_transliterated,translation,silver_label,silver_confidence,claude-opus-4-8_label,claude-opus-4-8_confidence,claude-opus-4-8_rationale,gemini-31-pro_label,gemini-31-pro_confidence,gemini-31-pro_rationale,gemini-35-flash_label,gemini-35-flash_confidence,gemini-35-flash_rationale,adjudicator_decision,adjudicator_notes
5430,amce,amce,of-mr-larispulenasonof-mr-larcegrandfatherof-ms-larthis,legal,high,unsure,low,"The raw text is a single verb form 'amce' ('was/is'), with no personal name, kinship formula, giving-verb, or object context visible. The mismatched translation contains a long kinship chain but the actual inscription token permits no discriminating feature, so no decision-tree branch (1-8) matches confidently. Per the edge-case rule for fragmentary/context-poor text lacking a discriminating formula, this routes to adjudication.",funerary,high,"The provided translation explicitly contains a complex kinship formula ('son of Mr. Larce, grandfather of Ms. Larthis') and personal names (Laris Pulena). This directly satisfies branch 1 of the decision tree for funerary inscriptions, which feature parentage and kinship formulas, despite the raw text field only displaying the single token 'amce' (was).",unsure,high,"The inscription contains only the single word 'amce' ('was'), which is the preterite of the verb 'to be'. Without any accompanying personal names, kinship terms, or dedicatory vocabulary in the transliteration, it is impossible to classify. Furthermore, there is a severe mismatch between the short text 'amce' and the long English translation provided in the metadata, indicating a fragmentary or corrupted entry.",,
Cm 2.32,mi limu.r.ce.s. ta pruχu.m.,mi limu.r.ce.s. ta pruχu.m.,I (am) the jug of Limurce.,ownership,high,ownership,high,"The text follows the 'mi' + genitive personal name possessive formula ('mi limurces' = 'I am of Limurce') on a portable vessel ('pruchum', a jug), with no verb of giving present. This matches decision-tree step 5 (mi + genitive on a portable utensil) with no dedicatory verb to trigger step 2.",ownership,high,The inscription contains the first-person pronoun 'mi' followed by a personal name in the genitive ('limurces') and the object name ('ta pruχum' / 'this jug'). This exactly matches Step 5 of the decision tree for a possessive identifier on a portable utensil.,ownership,high,The inscription exhibits a classic possessive ownership formula featuring 'mi' ('I am') followed by the genitive personal name 'limu.r.ce.s.' ('of Limurce') and the noun 'pruχu.m.' ('prochous/jug') with the demonstrative 'ta' ('this'). This matches step 5 of the decision tree for possessive identifiers on portable objects.,,
8927,alpan vesias,alpan vesias,,votive,high,dedicatory,low,"The word 'alpan' is a term associated with dedicatory/votive gift-giving (a willing offering/gift), paired with the genitive personal name 'vesias', suggesting a gift-context per decision-tree branch 2. However, there is no explicit sanctuary findspot or vow language to trigger 'votive' (step 3), and 'alpan' is not the standard verb of giving (tur-/mulu-), so the branch match is weak.",unsure,high,"Following the decision tree, the text lacks an explicit verb of giving or one of the mandated dedicatory formulas (cana, ame, fler) for Branch 2. While 'alpan' often signifies a gift or offering, the complete absence of object and find-context ('other') means the text alone permits multiple readings (dedicatory vs. votive vs. decorative caption), triggering the edge-case rule for adjudication.",unsure,medium,"The inscription 'alpan vesias' (meaning 'gift/offering of Vesia') contains the dedicatory/gift noun 'alpan' and a genitive personal name, but lacks an explicit recipient (deity or individual) to satisfy Step 2 of the decision tree. Since the object type and findspot are unspecified, it also cannot be confidently assigned to 'ownership' under Step 5, making it too ambiguous to classify without human adjudication.",,
CODEX_TCo_A,et petruiś ścevaś eliuntś vinac restmc cenuśa tenθur śar cusuθuraś larisalisula peśc spante tenθur sa śranś arcl clθii tersna θui spanθi mleśieθic raśnas inni peś petruś pavac traulac tiur tenθurś tenθaś zacinat priniserac zal cuśuθurśum,et petruiś ścevaś eliuntś vinac restmc cenuśa tenθur śar cusuθuraś larisalisula peśc spante tenθur sa śranś arcl clθii tersna θui spanθi mleśieθic raśnas inni peś petruś pavac traulac tiur tenθurś tenθaś zacinat priniserac zal cuśuθurśum,,boundary,high,legal,high,"This is the Tabula Cortonensis (Cortona), a bronze tablet with formal contractual structure recording a land transaction involving the Cusu family (cusuθuraś) and named parties (petruiś ścevaś, larisalisula), with legal-administrative vocabulary such as tenθur, spante, priniserac, and numerals (śar, zal). By decision-tree step 7, formal contractual structure on a bronze tablet with legal vocabulary yields 'legal'; the codebook explicitly cites Tabula Cortonensis (Co 8.5) as the paradigm legal case.",legal,high,"Following Rule 7 of the decision tree, this text features a formal contractual structure with extended prose, legal/administrative vocabulary ('tenθur', 'raśnas'), multi-party family identifiers in the genitive ('cusuθuraś larisalisula', 'petruiś ścevaś'), and numerals ('śar', 'sa', 'zal'). The inscription is an excerpt from the Tabula Cortonensis, which the codebook explicitly designates as a positive example of the 'legal' class.",legal,high,"This text is Side A of the famous Tabula Cortonensis (Co 8.5), which is a bronze tablet recording a land sale/division contract. It triggers Step 7 of the decision tree, which explicitly cites the Tabula Cortonensis as the prime example of the 'legal' class.",,
10007,turce murila fercnas,turce murila fercnas,mr-cnevegave--murilamrfercnas--,dedicatory,high,dedicatory,medium,"The text contains the verb of giving 'turce' (from tur-, 'gave'), triggering step 2 of the decision tree. There is no sanctuary findspot or explicit vow language (source tag is 'other'), so step 3 fails; the act is a gift involving named individuals (murila fercnas), so it resolves to dedicatory at step 4.",dedicatory,high,"The inscription contains the verb 'turce' (a preterite form of the giving verb 'tur-') alongside the nominative personal name 'murila fercnas'. Following Step 2 and the tie-breaking rule (Verb > noun), the presence of a verb of giving classifies the act as a gift. Without explicit sanctuary provenance or vow language to route it to votive (Step 3), it resolves as dedicatory.",dedicatory,high,"The text contains the verb of giving 'turce' ('gave'), which is the preterite of the root 'tur-'. Following Step 2 and the 'Verb > noun' tie-breaking rule, the presence of this verb of giving by the subject 'murila fercnas' classifies the inscription as dedicatory.",,
Ru 5.1,vl • afuna • vl • pes naliσ'a • cn • σ'uθi ceriχunce,vl • afuna • vl • pes naliσ'a • cn • σ'uθi ceriχunce,"Vel Afuna, (son) of Vel and Pesnei, built this tomb.",funerary,high,funerary,high,"The text contains 'σ'uθi' (tomb) and the verb 'ceriχunce' (built/constructed) with a named individual and kinship formula ('vl afuna vl' = Vel Afuna son of Vel, plus mother Pesnei). Under decision-tree rule 1, this is a sepulchral construction naming the deceased/builder with a death/kinship formula, so it is funerary.",funerary,high,"The inscription explicitly references the construction of a tomb ('cn σ'uθi ceriχunce' meaning 'built this tomb') and includes a personal name along with a parentage/kinship formula ('son of Vel and Pesnei'). Under Step 1 of the decision tree and tie-breaking rule 1, texts on tombs containing personal names and kinship formulas unambiguously belong to the funerary class.",funerary,high,The inscription contains a personal name with a kinship formula ('vl afuna vl pes naliσ'a') and explicitly refers to the construction of the tomb using the demonstrative and noun 'cn σ'uθi' (this tomb) and the verb 'ceriχunce' (built/made). This directly satisfies Step 1 of the decision tree for funerary context.,,
CODEX_TCo_B,aule salini cusual zilci larθal cusuś titinal larisalc saliniś aulesla celti neitiś tarśminaśś sparza inθuχt ceśa ratm suθiu suθiusa velχeś cusuśa uleśla velθuruś tlniś velθurusla larθalc celatinas vetnal larisalc celatinaś pitlnal,aule salini cusual zilci larθal cusuś titinal larisalc saliniś aulesla celti neitiś tarśminaśś sparza inθuχt ceśa ratm suθiu suθiusa velχeś cusuśa uleśla velθuruś tlniś velθurusla larθalc celatinas vetnal larisalc celatinaś pitlnal,,legal,high,legal,high,"This is the reverse (B side) of the Tabula Cortonensis, a bronze tablet recording a land transaction with formal contractual structure, multiple named parties (Cusu, Salini, Celatina families), the magistracy term 'zilci larθal', and locative-property vocabulary (celti, tular-type land references). Per decision tree step 7, formal contractual/legal vocabulary and the bronze-tablet object class trigger 'legal', and the codebook explicitly cites the Tabula Cortonensis as the canonical 'legal' exemplar.",legal,high,"The text belongs to the Tabula Cortonensis (Face B), a well-known bronze tablet recording a contract, which explicitly matches Step 7 of the decision tree. It features the formal dating formula 'zilci' (during the magistracy of) followed by a highly structured list of parties and witnesses, characteristic of Etruscan legal agreements.",legal,high,"This inscription is Side B of the Tabula Cortonensis (Co 8.5), a famous Etruscan bronze tablet detailing a land division/sale contract. Following step 7 of the decision tree, the object is a bronze tablet with a formal contractual and magistracy structure, explicitly defined under the 'legal' positive examples in the codebook.",,
ETP 81,mi cipaχ,mi cipaχ,,ownership,medium,ownership,medium,"The text is 'mi' + what appears to be a personal name (cipaχ) with no verb of giving, no kinship/death formula, and no sanctuary context, matching decision-tree branch 5 (the 'mi' + name possessive formula). No sepulchral find-context or dedicatory verb is present to trigger rules 1-4.",ownership,medium,"The inscription consists solely of the first-person pronoun 'mi' followed by a substantive ('cipaχ', likely a personal name), matching the classic Etruscan ownership formula. Following step 5 of the decision tree, the presence of 'mi' without a verb of giving or explicit sepulchral context triggers the ownership classification.",ownership,medium,"The inscription contains the first-person pronoun 'mi' followed by the personal name 'cipaχ', forming a standard 'speaking object' ownership formula ('I am Cipax' or 'I am of Cipax'). This fits Step 5 of the decision tree.",,
CIE 438,v·cvinti·arnθias·śelanśi | tez·alpan | turce,v·cvinti·arnθias·śelanśi | tez·alpan | turce,,votive,high,dedicatory,medium,"The text contains the verb of giving 'turce' (from tur-, 'gave/dedicated'), triggering step 2 of the decision tree, along with 'alpan' (a votive/gift term). With a named recipient/context and no explicit sanctuary findspot or vow language given, step 3 fails and step 4 resolves to dedicatory (verb > noun tie-break, rule 3).",votive,high,"The text contains the verb of giving 'turce' (gave) and names a deity recipient in the dative, 'śelanśi' (to Śelans), satisfying Step 2 of the decision tree. The presence of 'alpan', a well-known ex-voto formula indicating a willingly given offering or vow, fulfills the Step 3 requirement for explicit vow language, classifying it as votive rather than merely dedicatory.",dedicatory,high,"The inscription contains the past-tense verb of giving 'turce' (from the root tur-) and a clear divine recipient in the dative case 'śelanśi' (to the god Selans), alongside the dedicatory term 'alpan' (gift/willingly). Following the decision tree, this matches step 2 and step 4 for a dedicatory inscription.",,
15157,tular a(inpu,tular a(inpu,boundariesof-the-townlawfullyand-protected-under-the-divineprotectionof-the-goddess-vipsiofmr-felch,boundary,high,boundary,high,"The text opens with 'tular', the diagnostic Etruscan boundary-marker vocabulary specified in decision-tree branch 6. There is no verb of giving, ownership formula, or contractual structure, so the boundary-vocabulary test wins.",boundary,high,"The text explicitly contains the diagnostic boundary word 'tular' (translated as 'boundaries'), directly matching step 6 of the decision tree. There is no evidence of an extended contractual structure that would route this to the legal class.",boundary,high,"The inscription contains the explicit Etruscan word 'tular' ('boundaries'). According to step 6 of the decision tree, the presence of 'tular' or equivalent boundary-vocabulary on a marker classifies the text as a boundary inscription.",,
Co 3.7,larθia : ateinei :  | flereσ : matrnσl :  | turce,larθia ateinei flereσ matrnσl turce,Larthia Ateinei dedicated (this statue) to the divinity Matrns.,dedicatory,high,dedicatory,medium,"The text contains the verb of giving 'turce' (gave/dedicated) with a recipient marked by 'flereσ' (divinity/offering) and the theonym 'matrnσl', matching decision-tree step 2 (verb of giving with recipient). No explicit sanctuary findspot or vow formula is present, so step 3 fails and we proceed to step 4: the recipient is a deity (Matrns) and the act is a gift, yielding dedicatory.",votive,high,"The inscription contains the giving verb 'turce' (dedicated) and a divine recipient ('matrnσl'), which triggers Step 2 of the decision tree. It is classified as votive under Step 3 because it includes the explicit ex-voto/offering term 'flereσ', matching the codebook's positive example for votive inscriptions.",dedicatory,high,"The inscription contains a clear verb of giving/dedicating ('turce') and a recipient deity ('flereσ matrnσl', 'to the divinity Matrns'). According to the decision tree, because the recipient is a deity and the act is a gift, and there is no explicit sanctuary context or vow formula specified, it matches step 4 for 'dedicatory'.",,
AS 1.40,[m]i lariśa feleśkenaσ' am[---],[m]i lariśa feleśkenaσ' am[---],I (am the cippus) of Larish Feleshkena...,funerary,high,unsure,low,"The text follows a 'mi + genitive personal name' pattern ('mi lariśa feleśkenaσ') which suggests ownership (branch 5), but the translation gloss reconstructs the object as a cippus, and the fragmentary trailing 'am[---]' could be a verb (e.g. 'ame') that changes the reading. Because the object class is unresolved (a cippus would point toward boundary per tie-break rule 2) and the inscription is broken (intact-token ratio uncertain, discriminating final element lost), the evidence is insufficient for a confident label.",unsure,high,"The inscription features a 'mi' + personal name possessive formula, but the text is fragmentary ('am[---]') and lacks a decisive verb. Although the translation implies the object is a cippus, there is no explicit kinship formula (to satisfy branch 1 for funerary) or boundary vocabulary like 'tular' (branch 6). The fragmentary nature and potential multiple readings route this to the adjudication queue.",ownership,medium,"The text contains the first-person pronoun '[m]i' followed by a personal name in the genitive ('lariśa feleśkenaσ'') and a form of the copula 'am[---]' (to be). It lacks a kinship or death formula to trigger the funerary class under Rule 1, thus falling into the 'mi' + genitive possessive pattern of Rule 5.",,
Pe 8.4,iχ • ca | ceχa • ziχuχe,iχ • ca ceχa • ziχuχe,as (?) this (contract) was written above,legal,medium,legal,high,"This is the Cippus Perusinus (Pe 8.4), which the codebook explicitly classifies as legal, not boundary, because its contractual structure dominates. The text 'ceχa ziχuχe' ('was written above') and the translation referencing a written contract are diagnostic legal/contractual vocabulary triggering branch 7.",legal,high,"The inscription triggers branch 7 of the decision tree, as the translation features explicitly legal and contractual vocabulary ('contract', 'was written'). Furthermore, the codebook explicitly lists Pe 8.4 (the Cippus Perusinus) as a positive example for the 'legal' class, overriding any potential 'boundary' classification.",legal,high,"The inscription Pe 8.4 (the Cippus Perusinus) is explicitly classified in the codebook as a legal boundary contract between the Velthina and Afuna families. The text contains formal legal/contractual vocabulary, specifically 'ziχuχe' ('was written') and 'ceχa' ('decree' or 'above/accordingly'), referencing the written contract.",,
ETP 261,mi • cavθas,mi • cavθas,,ownership,medium,ownership,medium,"The text is the classic 'mi' + genitive of a personal name formula ('mi cavθas' = 'I am of Cavtha') with no verb of giving and no kinship/death formula, matching decision-tree branch 5. There is no sepulchral find-context or dedicatory verb that would divert it to funerary or dedicatory.",ownership,high,"The inscription consists exclusively of the first-person pronoun 'mi' and a proper name in the genitive case ('cavθas'). Following branch 5 of the decision tree and the tie-breaking rules, a 'mi' + genitive formula with no verb of giving must be classified as ownership, even if the name refers to a deity or is found in a sanctuary.",ownership,medium,"The inscription follows the 'mi' + genitive formula ('I [am] of Cavtha'), which matches Step 5 of the decision tree. Although Cavtha is a known Etruscan deity (suggesting a sacred or votive context), the lack of any verb of giving or dedicatory formula prevents it from being classified as dedicatory or votive, defaulting to ownership under the 'Verb > noun' tie-breaking rule.",,
ETP 340,cn • turce tite • uta ves • v • l • hercles alpan •,cn • turce tite • uta ves • v • l • hercles alpan •,"Tite Utaves, freedman o f Vel, dedicated this (bronze statue) to Herakles as a thank offering (?).",votive,high,dedicatory,medium,"The text contains the verb of giving 'turce' (gave/dedicated) with a divine recipient 'hercles' (Herakles) and the offering-term 'alpan' (thank offering/gift), satisfying step 2 of the decision tree. There is no explicit vow formula or clearly named sanctuary findspot given in the metadata, so step 3 fails and it resolves to dedicatory at step 4, a gift to a deity by a named individual (Tite Utaves).",dedicatory,high,"The inscription contains the verb of giving 'turce' and names a deity recipient, 'hercles' (Herakles), triggering branch 2 of the decision tree. Because there is no explicit sanctuary findspot or unambiguous vow language provided to trigger branch 3 (votive), it falls to branch 4 as a gift to a deity, making it a dedicatory text.",dedicatory,high,The text contains the verb of giving 'turce' ('dedicated/gave') and names the recipient 'hercles' (the deity Heracles) along with the dedication marker 'alpan' ('as a gift/offering'). This satisfies step 2 and step 4 of the decision tree.,,
16824,tular,tular,of-thegod-jupiter,boundary,high,boundary,high,"The text is the single word 'tular', the diagnostic boundary-vocabulary term per decision-tree step 6. There is no verb of giving, no kinship/death formula, and no contractual structure, so it resolves cleanly to the boundary class.",boundary,high,"The inscription consists entirely of the word 'tular', which is the diagnostic Etruscan vocabulary for a boundary marker. This directly matches rule 6 of the decision tree. The English translation 'of-thegod-jupiter' likely implies a 'tular tins' context (boundaries of Jupiter), but the explicit presence of 'tular' mandates the boundary class.",boundary,high,"The text consists of the single word 'tular', which is the standard Etruscan term for 'boundaries' or 'border markers'. According to step 6 of the decision tree, an inscription containing 'tular' or equivalent boundary-vocabulary on a marker is classified as 'boundary'.",,
CODEX_LL_VIII,celi huθiś zaθrumiś iχ nac aχrum flerχva neθśrac hamφeś celi huθiś zaθrumiś vacl trin sians cletram śrenχve nunθeri śpureśtreści enaś,celi huθiś zaθrumiś iχ nac aχrum flerχva neθśrac hamφeś celi huθiś zaθrumiś vacl trin sians cletram śrenχve nunθeri śpureśtreści enaś,,dedicatory,high,unsure,medium,"This is a ritual-calendar passage in the style of the Liber Linteus (Zagreb mummy wrapping), with liturgical/sacrificial vocabulary such as 'flerχva' (offerings), 'vacl' (libation), 'cletram śrenχve' (adorned litter/bier), and 'nunθeri' (to invoke/offer), plus a fixed date formula 'celi huθiś zaθrumiś' (on the 26th of celi). The decision tree offers no class for a prescriptive ritual/liturgical text: it is not a gift to a named deity or person (rule 2/4 fails), not a 'mi' + genitive ownership formula (rule 5), not a tular boundary (rule 6), and not a contractual/sale legal document (rule 7). No branch matches, so it routes to adjudication.",legal,medium,"The text belongs to the Liber Linteus (identified by 'CODEX_LL' and calendrical formulas like 'celi huθiś zaθrumiś'). It is a prescriptive ritual calendar detailing civic and religious obligations (containing 'vacl' for libation, 'flerχva' for sacrifices, and 'śpureśtreści' relating to the 'spur' or state). Following Rule 7, such extensive texts governing state ritual procedures function as 'sacred law', which falls under the 'legal' class.",unsure,high,"The text is from Column VIII of the Liber Linteus, a unique liturgical book and ritual calendar written on linen. It contains prescriptive ritual instructions (including dates like 'celi huθiś zaθrumiś' and offering verbs like 'nunθeri' and 'vacl') rather than a commemorative monument, contract, or single-object dedication. It does not fit any of the 7 standard epigraphic categories in the closed taxonomy.",,
