id,raw_text,canonical_transliterated,canonical_italic,canonical_words_only,translation,year_from,year_to,intact_token_ratio,data_quality
Cr 1.138,r • matunai | canatnei,r • matunai canatnei,𐌓 • 𐌌𐌀𐌕𐌖𐌍𐌀𐌉 𐌂𐌀𐌍𐌀𐌕𐌍𐌄𐌉,r matunai canatnei,Ramtha Matunai Canatnei,,,1.000,clean
Cr 1.5,av • tarχnas • av • c • | crucrials •,av • tarχnas • av • c • crucrials •,𐌀𐌅 • 𐌕𐌀𐌓𐌙𐌍𐌀𐌔 • 𐌀𐌅 • 𐌂 • 𐌂𐌓𐌖𐌂𐌓𐌉𐌀𐌋𐌔 •,av tarχnas av c crucrials,"Aule Tarkhnas, son of Aule, (born) from Crucri",,,1.000,clean
Ta 1.13,larθi : spantui : larces : spantus : seχ : arnθal : partunus : puia :,larθi spantui larces spantus seχ arnθal partunus puia,𐌋𐌀𐌓𐌈𐌉 𐌔𐌐𐌀𐌍𐌕𐌖𐌉 𐌋𐌀𐌓𐌂𐌄𐌔 𐌔𐌐𐌀𐌍𐌕𐌖𐌔 𐌔𐌄𐌙 𐌀𐌓𐌍𐌈𐌀𐌋 𐌐𐌀𐌓𐌕𐌖𐌍𐌖𐌔 𐌐𐌖𐌉𐌀,larθi spantui larces spantus seχ arnθal partunus puia,"Larthi Spantui, daughter of Larce Spantus, wife of Arnth Partunus",,,1.000,clean
Vt S.2,eca : sren :  | tva : iχna | c hercle :  | unial cl | an : θra{ : }sce,eca sren tva iχna c hercle unial cl an θra{ }sce,𐌄𐌂𐌀 𐌔𐌓𐌄𐌍 𐌕𐌅𐌀 𐌉𐌙𐌍𐌀 𐌂 𐌇𐌄𐌓𐌂𐌋𐌄 𐌖𐌍𐌉𐌀𐌋 𐌂𐌋 𐌀𐌍 𐌈𐌓𐌀{ }𐌔𐌂𐌄,eca sren tva iχna c hercle unial cl an,This scene (?) shows (?) that Hercle became the son of Uni.,,,0.818,clean
ETP 43,mi lauχumeśa katilaσ',mi lauχumeśa katilaσ',𐌌𐌉 𐌋𐌀𐌖𐌙𐌖𐌌𐌄𐌑𐌀 𐌊𐌀𐌕𐌉𐌋𐌀𐌑',mi lauχumeśa katilaσ',I (am) the (cippus) of Laukhume Katila.,550.0,500.0,1.000,clean
ETP 91,a b c d,a b c d,𐌀 𐌁 𐌂 𐌃,a b c d,,675.0,650.0,1.000,clean
Li 1.1,mi śuθi larθial muθikuσ,mi śuθi larθial muθikuσ,𐌌𐌉 𐌑𐌖𐌈𐌉 𐌋𐌀𐌓𐌈𐌉𐌀𐌋 𐌌𐌖𐌈𐌉𐌊𐌖𐌑,mi śuθi larθial muθikuσ,I (am) the tomb of Larth Muthiku.,500.0,500.0,1.000,clean
Ta 1.66,vel : aties : velθurus : lemniσ'a : celati cesu,vel aties velθurus lemniσ'a celati cesu,𐌅𐌄𐌋 𐌀𐌕𐌉𐌄𐌔 𐌅𐌄𐌋𐌈𐌖𐌓𐌖𐌔 𐌋𐌄𐌌𐌍𐌉𐌑'𐌀 𐌂𐌄𐌋𐌀𐌕𐌉 𐌂𐌄𐌔𐌖,vel aties velθurus lemniσ'a celati cesu,"Vel Aties, the (son) of Velthur and Lemni, (was) buried in this chamber.",300.0,300.0,1.000,clean
Ta 1.59,ravnθu | velχai | velθuruσ'a | seχ | larθialiσ'la,ravnθu velχai velθuruσ'a seχ larθialiσ'la,𐌓𐌀𐌅𐌍𐌈𐌖 𐌅𐌄𐌋𐌙𐌀𐌉 𐌅𐌄𐌋𐌈𐌖𐌓𐌖𐌑'𐌀 𐌔𐌄𐌙 𐌋𐌀𐌓𐌈𐌉𐌀𐌋𐌉𐌑'𐌋𐌀,ravnθu velχai velθuruσ'a seχ larθialiσ'la,"Ravnthu Velkhai, the daughter of Velthur, (who is) the (son) of Larth",,,1.000,clean
Cl 1.1134,vel : tite : aules,vel tite aules,𐌅𐌄𐌋 𐌕𐌉𐌕𐌄 𐌀𐌖𐌋𐌄𐌔,vel tite aules,"Vel Tite, (son) of Aule",,,1.000,clean
Cl 1.2513,aθ : tiφile : palpe : pulias,aθ tiφile palpe pulias,𐌀𐌈 𐌕𐌉𐌘𐌉𐌋𐌄 𐌐𐌀𐌋𐌐𐌄 𐌐𐌖𐌋𐌉𐌀𐌔,aθ tiφile palpe pulias,"Arnth Tiphile Palpe, (son) of Pulia",,,1.000,clean
Cl 1.970,hasti : petruσ :,hasti petruσ,𐌇𐌀𐌔𐌕𐌉 𐌐𐌄𐌕𐌓𐌖𐌑,hasti petruσ,"Hasti, (slave) o f Petru",,,1.000,clean
Pe 1.219,l • eucle • φisis • lavtni,l • eucle • φisis • lavtni,𐌋 • 𐌄𐌖𐌂𐌋𐌄 • 𐌘𐌉𐌔𐌉𐌔 • 𐌋𐌀𐌅𐌕𐌍𐌉,l eucle φisis lavtni,"Larth Eucle, freedman of Phisi",,,1.000,clean
ETP 315,larnei,larnei,𐌋𐌀𐌓𐌍𐌄𐌉,larnei,,,,1.000,clean
CIE 2222,ha·vi·harp,ha·vi·harp,𐌇𐌀·𐌅𐌉·𐌇𐌀𐌓𐌐,ha vi harp,,,,1.000,clean
Ta 1.147,ceicnas : arnθ : arnθal : avils : XXIX,ceicnas arnθ arnθal avils xxix,𐌂𐌄𐌉𐌂𐌍𐌀𐌔 𐌀𐌓𐌍𐌈 𐌀𐌓𐌍𐌈𐌀𐌋 𐌀𐌅𐌉𐌋𐌔 𐌗𐌗𐌉𐌗,ceicnas arnθ arnθal avils xxix,"Arnth Ceicnas, (son) of Arnth, (dead) at age twenty-nine",,,1.000,clean
Vc 1.84,tutes • arnθ • larθal,tutes • arnθ • larθal,𐌕𐌖𐌕𐌄𐌔 • 𐌀𐌓𐌍𐌈 • 𐌋𐌀𐌓𐌈𐌀𐌋,tutes arnθ larθal,"Arnth Tutes, (son) of Larth",,,1.000,clean
Vs 1.120,[mi ma]marces apenas qutus,[mi ma]marces apenas qutus,[𐌌𐌉 𐌌𐌀]𐌌𐌀𐌓𐌂𐌄𐌔 𐌀𐌐𐌄𐌍𐌀𐌔 𐌒𐌖𐌕𐌖𐌔,apenas qutus,I (am the tomb) of Marce Apenas Qutu.,,,0.500,clean
Vs 1.28,mi larθia hulχenas veθurus cles,mi larθia hulχenas veθurus cles,𐌌𐌉 𐌋𐌀𐌓𐌈𐌉𐌀 𐌇𐌖𐌋𐌙𐌄𐌍𐌀𐌔 𐌅𐌄𐌈𐌖𐌓𐌖𐌔 𐌂𐌋𐌄𐌔,mi larθia hulχenas veθurus cles,"I (am the tomb) of Larth Hulkhenas, son of Velthur.",,,1.000,clean
Vn 1.1,[mi] aveleσ feluśkeσ tuσnutai[-pa] panalaσ mini mulvaneke hirumi[n]a φerśnaχś,[mi] aveleσ feluśkeσ tuσnutai[-pa] panalaσ mini mulvaneke hirumi[n]a φerśnaχś,[𐌌𐌉] 𐌀𐌅𐌄𐌋𐌄𐌑 𐌚𐌄𐌋𐌖𐌑𐌊𐌄𐌑 𐌕𐌖𐌑𐌍𐌖𐌕𐌀𐌉[-𐌐𐌀] 𐌐𐌀𐌍𐌀𐌋𐌀𐌑 𐌌𐌉𐌍𐌉 𐌌𐌖𐌋𐌅𐌀𐌍𐌄𐌊𐌄 𐌇𐌉𐌓𐌖𐌌𐌉[𐌍]𐌀 𐌘𐌄𐌓𐌑𐌍𐌀𐌙𐌑,aveleσ feluśkeσ panalaσ mini mulvaneke φerśnaχś,"I (am the stele) of Avile Felushke, tuσmutai[-], (son) of Papanai. Hirumina, phershnakhsh, gave me.",600.0,600.0,0.667,clean
16860,ar,ar,𐌀𐌓,ar,mr-arnths mr-arnth,,,1.000,clean
Pe 1.211,lar{n}θ • scarpe • lautni,lar{n}θ • scarpe • lautni,𐌋𐌀𐌓{𐌍}𐌈 • 𐌔𐌂𐌀𐌓𐌐𐌄 • 𐌋𐌀𐌖𐌕𐌍𐌉,scarpe lautni,"Larth Shcarpe, freedman",100.0,100.0,0.667,clean
CIE 2453,𐌋𐌀𐌓𐌈𐌉.𐌌𐌀𐌓𐌉𐌂𐌀𐌍𐌄,larθi.maricane,𐌋𐌀𐌓𐌈𐌉.𐌌𐌀𐌓𐌉𐌂𐌀𐌍𐌄,larθi.maricane,,,,1.000,clean
Cr 1.10,avle • tarχnas • larθal • clan,avle • tarχnas • larθal • clan,𐌀𐌅𐌋𐌄 • 𐌕𐌀𐌓𐌙𐌍𐌀𐌔 • 𐌋𐌀𐌓𐌈𐌀𐌋 • 𐌂𐌋𐌀𐌍,avle tarχnas larθal clan,"Aule Tarkhnas, son o f Larth",,,1.000,clean
Cr 3.20,mi<ni> aranθ ramuθaςi veςtiricinala muluvanice,mi<ni> aranθ ramuθaςi veςtiricinala muluvanice,𐌌𐌉<𐌍𐌉> 𐌀𐌓𐌀𐌍𐌈 𐌓𐌀𐌌𐌖𐌈𐌀𐌑𐌉 𐌅𐌄𐌑𐌕𐌉𐌓𐌉𐌂𐌉𐌍𐌀𐌋𐌀 𐌌𐌖𐌋𐌖𐌅𐌀𐌍𐌉𐌂𐌄,aranθ ramuθaςi veςtiricinala muluvanice,Aranth gave me to Ramutha Vestiricinai.,,,0.800,clean
ETP 94,uniθiu,uniθiu,𐌖𐌍𐌉𐌈𐌉𐌖,uniθiu,,200.0,200.0,1.000,clean
Sp 2.36,mi faσena tataσ tulaluσ,mi faσena tataσ tulaluσ,𐌌𐌉 𐌚𐌀𐌑𐌄𐌍𐌀 𐌕𐌀𐌕𐌀𐌑 𐌕𐌖𐌋𐌀𐌋𐌖𐌑,mi faσena tataσ tulaluσ,I (am) the libation vessel of Tata Tulalu.,,,1.000,clean
Ta 3.2,itun turuce vene.l .a.telinas tinas cliniiaras,itun turuce vene.l .a.telinas tinas cliniiaras,𐌉𐌕𐌖𐌍 𐌕𐌖𐌓𐌖𐌂𐌄 𐌅𐌄𐌍𐌄.𐌋 .𐌀.𐌕𐌄𐌋𐌉𐌍𐌀𐌔 𐌕𐌉𐌍𐌀𐌔 𐌂𐌋𐌉𐌍𐌉𐌉𐌀𐌓𐌀𐌔,itun turuce vene.l .a.telinas tinas cliniiaras,Venel Atelinas dedicated this (vase) to the sons of Tinia.,580.0,580.0,1.000,clean
LL 11,vinum • θic ...,vinum • θic ...,𐌅𐌉𐌍𐌖𐌌 • 𐌈𐌉𐌂 ...,vinum θic ...,wine and water,,,1.000,clean
CIE 2261,ƎSƎΘOƎAS MVOVƧIAO,eSeΘOeAS MVOVsIAO,,eSeΘOeAS MVOVsIAO,,,,1.000,clean
Vt 3.1,mini muluvanice vhlakunaie venel,mini muluvanice vhlakunaie venel,𐌌𐌉𐌍𐌉 𐌌𐌖𐌋𐌖𐌅𐌀𐌍𐌉𐌂𐌄 𐌅𐌇𐌋𐌀𐌊𐌖𐌍𐌀𐌉𐌄 𐌅𐌄𐌍𐌄𐌋,mini muluvanice vhlakunaie venel,Venel Vhlakunaie gave me (as a gift).,,,1.000,clean
CIE 2611,𐌐𐌖𐌕𐌉𐌀𐌋𐌉𐌔𐌀:𐌔𐌄𐌊,putialisa:sec,𐌐𐌖𐌕𐌉𐌀𐌋𐌉𐌔𐌀:𐌔𐌄𐌂,putialisa sec,,,,1.000,clean
14781,v--lthurthelen----,v--lθurθelen----,𐌅--𐌋𐌈𐌖𐌓𐌈𐌄𐌋𐌄𐌍----,,,,,0.000,clean
Pe 1.948,śuθiσ' : eca penθuna cai : velσ' : caiσ' θareσ' : lautni,śuθiσ' eca penθuna cai velσ' caiσ' θareσ' lautni,𐌑𐌖𐌈𐌉𐌑' 𐌄𐌂𐌀 𐌐𐌄𐌍𐌈𐌖𐌍𐌀 𐌂𐌀𐌉 𐌅𐌄𐌋𐌑' 𐌂𐌀𐌉𐌑' 𐌈𐌀𐌓𐌄𐌑' 𐌋𐌀𐌖𐌕𐌍𐌉,śuθiσ' eca penθuna cai velσ' caiσ' θareσ' lautni,"This (is) the cippus of the tomb. Cai, freedman of Vel Cai Thare.",,,1.000,clean
Ta 1.107,felsnas : la : leθes svalce : avil : CVI murce : capue tleχe : hanipaluscle,felsnas la leθes svalce avil cvi murce capue tleχe hanipaluscle,𐌚𐌄𐌋𐌔𐌍𐌀𐌔 𐌋𐌀 𐌋𐌄𐌈𐌄𐌔 𐌔𐌅𐌀𐌋𐌂𐌄 𐌀𐌅𐌉𐌋 𐌂𐌅𐌉 𐌌𐌖𐌓𐌂𐌄 𐌂𐌀𐌐𐌖𐌄 𐌕𐌋𐌄𐌙𐌄 𐌇𐌀𐌍𐌉𐌐𐌀𐌋𐌖𐌔𐌂𐌋𐌄,felsnas la leθes svalce avil cvi murce capue tleχe hanipaluscle,"Larth Felsnas, (son) of Lethe, lived for 1θ6 years. He murce in Capua. He tlekhe in the (army) of Hanipal.",200.0,100.0,1.000,clean
ETP 101,ceisei,ceisei,𐌂𐌄𐌉𐌔𐌄𐌉,ceisei,,200.0,150.0,1.000,clean
ETP 95,atakus,atakus,𐌀𐌕𐌀𐌊𐌖𐌔,atakus,,300.0,250.0,1.000,clean
OA 2.2,mi larθaia telicles leχtumuza,mi larθaia telicles leχtumuza,𐌌𐌉 𐌋𐌀𐌓𐌈𐌀𐌉𐌀 𐌕𐌄𐌋𐌉𐌂𐌋𐌄𐌔 𐌋𐌄𐌙𐌕𐌖𐌌𐌖𐌆𐌀,mi larθaia telicles leχtumuza,"I (am) the oil-flask of Larthai, of the (family) Telicles.",650.0,600.0,1.000,clean
ETP 121,[---]xiiene.[---],[---]xiiene.[---],[---]𐌗𐌉𐌉𐌄𐌍𐌄.[---],,,600.0,550.0,0.000,clean
Cr 3.10,mi mulu larisale velχainasi,mi mulu larisale velχainasi,𐌌𐌉 𐌌𐌖𐌋𐌖 𐌋𐌀𐌓𐌉𐌔𐌀𐌋𐌄 𐌅𐌄𐌋𐌙𐌀𐌉𐌍𐌀𐌔𐌉,mi mulu larisale velχainasi,I (was) given to Laris Velkhainas.,,,1.000,clean
Fa 6.3,mi araθiale ziχuχe,mi araθiale ziχuχe,𐌌𐌉 𐌀𐌓𐌀𐌈𐌉𐌀𐌋𐌄 𐌆𐌉𐌙𐌖𐌙𐌄,mi araθiale ziχuχe,I was painted by Ara(n)th.,,,1.000,clean
LL 2,nunθenθ • cletram • σrenχve | tei • faσei,nunθenθ • cletram • σrenχve tei • faσei,𐌍𐌖𐌍𐌈𐌄𐌍𐌈 • 𐌂𐌋𐌄𐌕𐌓𐌀𐌌 • 𐌑𐌓𐌄𐌍𐌙𐌅𐌄 𐌕𐌄𐌉 • 𐌚𐌀𐌑𐌄𐌉,nunθenθ cletram σrenχve tei faσei,(One) shall place (it) on the rakh (while) anointing (?) the litter with σrenχve (and) with this libation,,,1.000,clean
Pe 3.1,eta : kavθaσ : aχuiaσ : perśie | avle numnaσ turke,eta kavθaσ aχuiaσ perśie avle numnaσ turke,𐌄𐌕𐌀 𐌊𐌀𐌅𐌈𐌀𐌑 𐌀𐌙𐌖𐌉𐌀𐌑 𐌐𐌄𐌓𐌑𐌉𐌄 𐌀𐌅𐌋𐌄 𐌍𐌖𐌌𐌍𐌀𐌑 𐌕𐌖𐌓𐌊𐌄,eta kavθaσ aχuiaσ perśie avle numnaσ turke,This (vase) is for (the divinity) Kautha Akhuia in Perusia; Aule Numna dedicated (it as an offering).,,,1.000,clean
ETP 316,θana larn ei cestinal a,θana larn ei cestinal a,𐌈𐌀𐌍𐌀 𐌋𐌀𐌓𐌍 𐌄𐌉 𐌂𐌄𐌔𐌕𐌉𐌍𐌀𐌋 𐌀,θana larn ei cestinal a,,,,1.000,clean
AV 6.9,pultuceσi,pultuceσi,𐌐𐌖𐌋𐌕𐌖𐌂𐌄𐌑𐌉,pultuceσi,in the (workshop) of Pultuce,150.0,150.0,1.000,clean
Vc 6.6,ruvfies : acil,ruvfies acil,𐌓𐌖𐌅𐌚𐌉𐌄𐌔 𐌀𐌂𐌉𐌋,ruvfies acil,the work o f Ruvfie,300.0,200.0,1.000,clean
ETP 58,nan[---],nan[---],𐌍𐌀𐌍[---],,,,,0.000,clean
Vc 1.59,clθi [ : ] [σ'uθi]θi : ra[m] [;] ceisatrui | cesu : p[ru]σlnas : [p]uia velus | rapi : [---]e : te[---],clθi [ ] [σ'uθi]θi ra[m] [;] ceisatrui cesu p[ru]σlnas [p]uia velus rapi [---]e te[---],𐌂𐌋𐌈𐌉 [ ] [𐌑'𐌖𐌈𐌉]𐌈𐌉 𐌓𐌀[𐌌] [;] 𐌂𐌄𐌉𐌔𐌀𐌕𐌓𐌖𐌉 𐌂𐌄𐌔𐌖 𐌐[𐌓𐌖]𐌑𐌋𐌍𐌀𐌔 [𐌐]𐌖𐌉𐌀 𐌅𐌄𐌋𐌖𐌔 𐌓𐌀𐌐𐌉 [---]𐌄 𐌕𐌄[---],clθi ceisatrui cesu velus rapi,"In this tomb (was) buried Ramtha Ceisatrui, the wife of Vel Prushlnas, rapi ...",,,0.333,clean
Vc 1.64,larθ tutes anc farθnaχe veluis | tuteis θanχviluisc | turials{c},larθ tutes anc farθnaχe veluis tuteis θanχviluisc turials{c},𐌋𐌀𐌓𐌈 𐌕𐌖𐌕𐌄𐌔 𐌀𐌍𐌂 𐌚𐌀𐌓𐌈𐌍𐌀𐌙𐌄 𐌅𐌄𐌋𐌖𐌉𐌔 𐌕𐌖𐌕𐌄𐌉𐌔 𐌈𐌀𐌍𐌙𐌅𐌉𐌋𐌖𐌉𐌔𐌂 𐌕𐌖𐌓𐌉𐌀𐌋𐌔{𐌂},larθ tutes anc farθnaχe veluis tuteis θanχviluisc,(It was) Larth Tutes who was born from Vel Tutes and Thankhvil Turi.,,,0.875,clean
ETP 77,[---] xeri : spu[reri---] [---]cs[---],[---] xeri spu[reri---] [---]cs[---],[---] 𐌗𐌄𐌓𐌉 𐌔𐌐𐌖[𐌓𐌄𐌓𐌉---] [---]𐌂𐌔[---],xeri,,350.0,300.0,0.250,clean
ETP 78,alσinas xlx XX,alσinas xlx xx,𐌀𐌋𐌑𐌉𐌍𐌀𐌔 𐌗𐌋𐌗 𐌗𐌗,alσinas xlx xx,,300.0,100.0,1.000,clean
ETP 96,laris atiu,laris atiu,𐌋𐌀𐌓𐌉𐌔 𐌀𐌕𐌉𐌖,laris atiu,,300.0,250.0,1.000,clean
ETP 97,{e} mi karku[---],{e} mi karku[---],{𐌄} 𐌌𐌉 𐌊𐌀𐌓𐌊𐌖[---],mi,,250.0,150.0,0.333,clean
ETP 98,[---]s ta mi,[---]s ta mi,[---]𐌔 𐌕𐌀 𐌌𐌉,ta mi,,300.0,300.0,0.667,clean
