id,label,labeled_by,confidence
LL 6,dedicatory,claude_reasoning,high
LL 8,dedicatory,claude_reasoning,high
LL 9,dedicatory,claude_reasoning,high
La 2.3,ownership,claude_reasoning,medium
Li 1.1,funerary,claude_reasoning,high
OA 2.2,ownership,claude_reasoning,high
OA 2.20,ownership,claude_reasoning,high
OA 3.9,dedicatory,claude_reasoning,high
Pe 1.219,funerary,claude_reasoning,high
Pe 1.948,funerary,claude_reasoning,high
Pe 3.1,dedicatory,claude_reasoning,high
Pe 3.3,dedicatory,claude_reasoning,high
Pe 5.2,funerary,claude_reasoning,high
Pe 8.4,legal,claude_reasoning,medium
Ru 5.1,funerary,claude_reasoning,high
Sp 2.36,ownership,claude_reasoning,medium
TCa 8,dedicatory,claude_reasoning,high
Ta 1.107,funerary,claude_reasoning,high
Ta 1.108,funerary,claude_reasoning,high
Ta 1.13,funerary,claude_reasoning,high
Ta 1.147,funerary,claude_reasoning,high
Ta 1.15,funerary,claude_reasoning,high
Ta 1.168,funerary,claude_reasoning,high
Ta 1.18,funerary,claude_reasoning,high
Ta 1.182,funerary,claude_reasoning,high
Ta 1.183,funerary,claude_reasoning,high
Ta 1.191,funerary,claude_reasoning,high
Ta 1.31,funerary,claude_reasoning,high
Ta 1.35,funerary,claude_reasoning,high
Ta 1.59,funerary,claude_reasoning,high
Ta 1.62,funerary,claude_reasoning,high
Ta 1.66,funerary,claude_reasoning,high
Ta 1.81,funerary,claude_reasoning,high
Ta 1.82,funerary,claude_reasoning,high
Ta 1.89,funerary,claude_reasoning,high
Ta 1.9,funerary,claude_reasoning,high
Ta 1.96,funerary,claude_reasoning,high
Ta 3.2,dedicatory,claude_reasoning,high
Ta 3.6,votive,claude_reasoning,high
Ta 5.5,funerary,claude_reasoning,medium
Um 1.7,funerary,claude_reasoning,medium
Vc 1.59,funerary,claude_reasoning,high
Vc 1.64,funerary,claude_reasoning,high
Vc 1.84,funerary,claude_reasoning,high
Vc 1.87,funerary,claude_reasoning,high
Vc 6.6,ownership,claude_reasoning,high
Vc 7.38,funerary,claude_reasoning,medium
Ve 3.13,ownership,claude_reasoning,high
Ve 3.2,ownership,claude_reasoning,high
Ve 3.29,dedicatory,claude_reasoning,high
Ve 6.2,ownership,claude_reasoning,high
Vn 1.1,funerary,claude_reasoning,high
Vs 1.120,funerary,claude_reasoning,high
Vs 1.178,funerary,claude_reasoning,high
Vs 1.28,funerary,claude_reasoning,high
Vs 1.45,funerary,claude_reasoning,high
Vs 1.55,funerary,claude_reasoning,high
Vs 1.85,funerary,claude_reasoning,high
Vs 1.86,funerary,claude_reasoning,high
Vs 2.40,ownership,claude_reasoning,low
Vs 4.8,votive,claude_reasoning,high
Vs 7.25,funerary,claude_reasoning,medium
Vt 1.58,funerary,claude_reasoning,high
Vt 3.1,ownership,claude_reasoning,high
Vt 4.2,dedicatory,claude_reasoning,high
Vt 4.5,dedicatory,claude_reasoning,high
Vt S.2,dedicatory,claude_reasoning,medium
